브랜드,상품명,가격,가격대,옵션명,옵션혜택,리뷰내용,정제리뷰,키워드토큰문자열,리뷰평점,도움돼요구간,도움돼요점수,사진여부,리뷰글자수,리뷰단어수,리뷰군집,페르소나,주요관심사,대표키워드,메시지 방향,긍정신호여부,부정신호여부,쿨링감언급여부,향언급여부,두피언급여부,자극언급여부,가격구성언급여부,강한쿨링긍정여부,쿨링지속긍정여부,쿨링지속아쉬움여부,약한쿨링부족여부,민감자극회피여부
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,쿨링,일반,곰팡이까지 없애주는 발을 씻자!! 떨어지면 무조건 쟁여야 합니다,곰팡이까지 없애주는 발을 씻자 떨어지면 무조건 쟁여야 합니다,"곰팡, 없애주, 씻자, 떨어지면, 무조건, 쟁여야",5,매우 높음,4,False,35,8,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,0,0,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,쿨링,일반,"여름 대비 필수템입니다. 발 전용 세정제라 처음에는 굳이 필요할까 싶었는데, 사용해보니 일반 바디워시와는 확실히 차이가 있었습니다. 스프레이 타입이라 손에 묻히지 않고 바로 발에 분사할 수 있어 간편하고 위생적으로 사용할 수 있습니다. 세정 후에는 개운함이 오래 유지됩니다. 용량도 넉넉한 편이라 생각보다 오래 사용할 수 있고, 욕실에 두고 가족들과 함께 사용하기에도 좋습니다. 욕실 물때·의류 얼룩·기름때 등 응급 세정용으로도 추천드려요.",여름 대비 필수템입니다 발 전용 세정제라 처음에는 굳이 필요할까 싶었는데 사용해보니 일반 바디워시와는 확실히 차이가 있었습니다 스프레이 타입이라 손에 묻히지 않고 바로 발에 분사할 수 있어 간편하고 위생적으로 사용할 수 있습니다 세정 후에는 개운함이 오래 유지됩니다 용량도 넉넉한 편이라 생각보다 오래 사용할 수 있고 욕실에 두고 가족들과 함께 사용하기에도 좋습니다 욕실 물때 의류 얼룩 기름때 등 응급 세정용으로도 추천드려요,"여름, 대비, 필수템, 전용, 세정제라, 필요할까, 싶었, 사용해보니, 일반, 바디워시, 확실히, 차이, 있었, 스프레, 타입, 묻히지, 않고, 분사할, 있어, 간편, 위생적, 사용할, 세정, 개운함, 오래, 유지됩니다, 용량, 넉넉한, 생각, 오래, 사용할, 있고, 욕실, 두고, 가족들, 함께, 사용하기, 욕실, 물때, 의류, 얼룩, 기름때, 응급, 세정용으, 추천드려요",5,매우 높음,4,True,246,57,0,청량감 즉시 체감형,쿨링/열감,"여름, 사용하기, 거품, 있어서, 열감, 구매했, 시원해서, 용량, 시원한, 좋아, 쿨링제품, 사용할",시원함·개운함·상쾌함을 사용 직후 체감 언어로 제시,1,0,1,0,1,0,1,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,레몬,일반,🏷️사용감 분사하자마자 상큼달달한 자몽껌 향이 화장실에 확 퍼집니다 인위적이지 않아서 씻을 때마다 기분이 너무 좋아요 민트 성분 덕분에 다 씻고 나면 발이 엄청 시원합니다 🏷️장점 -분사형이라 허리 숙이지 않고도 발에 바로 뿌려서 씻기 편해요 -거품이 잘 나서 간단히 문질러도 세정이 잘 되는 느낌이에요 -씻고 나면 발이 정말 상쾌해요 -발냄새 잡는 효과가 생각보다 괜찮아서 만족해요 -욕실에서 빠르게 씻기 좋아서 퇴근 후 루틴으로 사용하기 좋아요 🏷️단점 바닥에 거품이 떨어지면 너무 미끄러워서 조심해야할 거같아요,사용감 분사하자마자 상큼달달한 자몽껌 향이 화장실에 확 퍼집니다 인위적이지 않아서 씻을 때마다 기분이 너무 좋아요 민트 성분 덕분에 다 씻고 나면 발이 엄청 시원합니다 장점 분사형이라 허리 숙이지 않고도 발에 바로 뿌려서 씻기 편해요 거품이 잘 나서 간단히 문질러도 세정이 잘 되는 느낌이에요 씻고 나면 발이 정말 상쾌해요 발냄새 잡는 효과가 생각보다 괜찮아서 만족해요 욕실에서 빠르게 씻기 좋아서 퇴근 후 루틴으로 사용하기 좋아요 단점 바닥에 거품이 떨어지면 너무 미끄러워서 조심해야할 거같아요,"분사하자마자, 상큼달달한, 자몽껌, 화장실, 퍼집니다, 인위적이지, 않아서, 때마다, 기분, 민트, 성분, 덕분, 씻고, 나면, 장점, 분사형, 허리, 숙이지, 않고, 뿌려서, 씻기, 거품, 나서, 간단히, 문질러, 세정, 느낌이에요, 씻고, 나면, 상쾌, 발냄새, 생각, 괜찮아서, 만족, 욕실, 빠르게, 씻기, 퇴근, 루틴, 사용하기, 단점, 바닥, 거품, 떨어지면, 미끄러워서, 조심해야할, 거같",5,매우 높음,4,True,288,71,2,세정감 꼼꼼 확인형,세정/거품,"거품, 세정력, 풍성하게, 샴푸바, 나고, 나서, 풍성, 생각, 좋았, 세정, 오래, 꾸준히",풍성한 거품·세정력·감은 뒤 머릿결을 실제 사용 장면으로 보여주기,1,0,1,1,0,0,0,1,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,쿨링,일반,비누체로 하기에는 귀찮아서 스프레이로 보드리면 간편해서 샀어요. 시원해요.,비누체로 하기에는 귀찮아서 스프레이로 보드리면 간편해서 샀어요 시원해요,"비누체, 하기, 귀찮아서, 스프레이, 보드리면, 간편해서",5,매우 높음,4,True,41,8,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,1,0,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,레몬,일반,다른 향들 전부 사용해봤는데 뭐니뭐니해도 오리지널이 최고인 것 같습니다! 발체취가 완전 줄고 칙칙 뿌려서 사용하는 거다보니까 너무 좋더라고요!,다른 향들 전부 사용해봤는데 뭐니뭐니해도 오리지널이 최고인 것 같습니다 발체취가 완전 줄고 칙칙 뿌려서 사용하는 거다보니까 너무 좋더라고요,"다른, 향들, 전부, 사용해봤, 뭐니뭐니해, 오리지널, 최고인, 발체취, 줄고, 칙칙, 뿌려서, 사용하, 거다보니까, 좋더라",5,매우 높음,4,False,79,18,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",0,0,0,1,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,자몽향,일반,발을씻자 우리집 필수품이에요 발 씻는거 뿐만 아니라 욕실청소 실내화세탁 옷 얼룩제거 등등 안쓰는곳 없이 온갖곳에 다 사용,발을씻자 우리집 필수품이에요 발 씻는거 뿐만 아니라 욕실청소 실내화세탁 옷 얼룩제거 등등 안쓰는곳 없이 온갖곳에 다 사용,"발을씻자, 우리집, 필수품이에요, 씻는거, 뿐만, 아니라, 욕실청소, 실내화세탁, 얼룩제거, 등등, 안쓰는곳, 온갖곳",5,매우 높음,4,True,67,17,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",0,0,0,0,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,비누향,일반,비누향 너무 좋아요 진짜 세탁 비누 그잡채... 요거 하나 있으면 만능이라 슬리퍼 세탁도 하고 욕실 청소도 하고 발도 씻구 ㅎㅎ 여름 필수템이죠!!! 나갔다오면 발 찝찝한데 서서 바로 칙칙 뿌려주고 샤워기로 씻어주면 세상 편하고 상쾌해요!!,비누향 너무 좋아요 진짜 세탁 비누 그잡채 요거 하나 있으면 만능이라 슬리퍼 세탁도 하고 욕실 청소도 하고 발도 씻구 여름 필수템이죠 나갔다오면 발 찝찝한데 서서 바로 칙칙 뿌려주고 샤워기로 씻어주면 세상 편하고 상쾌해요,"비누향, 세탁, 비누, 그잡채, 요거, 하나, 있으면, 만능, 슬리퍼, 세탁, 욕실, 청소, 씻구, 여름, 필수템이죠, 나갔다오면, 찝찝한데, 서서, 칙칙, 뿌려주고, 샤워기, 씻어주면, 세상, 상쾌",5,매우 높음,4,True,134,34,0,청량감 즉시 체감형,쿨링/열감,"여름, 사용하기, 거품, 있어서, 열감, 구매했, 시원해서, 용량, 시원한, 좋아, 쿨링제품, 사용할",시원함·개운함·상쾌함을 사용 직후 체감 언어로 제시,1,0,1,1,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,OY단독 복숭아,일반,사실 요새는 잘 안쓰고 잇엇는데 집에 바선생이 나와서 어쩔수 없이 삼 ㅜㅜ,사실 요새는 잘 안쓰고 잇엇는데 집에 바선생이 나와서 어쩔수 없이 삼,"사실, 요새, 안쓰고, 잇엇, 바선생, 나와서, 어쩔수",5,매우 높음,4,False,41,12,3,두피 컨디션 관리형,두피/유분,"시원한, 머리카락, 이거, 거품, 탈모, 아베다, 하나, 쿨링샴푸, 후기, 분들, 사용하기, 나와서",두피 편안함·유분 케어·세정감을 기능적 근거와 함께 제시,0,0,0,0,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,복숭아향,일반,향만 다를 뿐이지 발을 씻자! 어느 제품을 사용해도 발을 깨끗하게 씻을 수 있어요.,향만 다를 뿐이지 발을 씻자 어느 제품을 사용해도 발을 깨끗하게 씻을 수 있어요,"향만, 뿐이지, 씻자, 어느, 깨끗하게",5,매우 높음,4,True,46,13,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,0,1,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,비누향,일반,약간 속안좋아지는 코튼향이에요 ㅠ 우엑.... 다른향 추천드립니다,약간 속안좋아지는 코튼향이에요 우엑 다른향 추천드립니다,"속안좋아지, 코튼향이에요, 우엑, 다른향, 추천드립니다",5,매우 높음,4,False,36,7,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,0,1,0,0,0,0,0,0,0,0
